Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
2160,3840,Ultra HD (4K),PHILIPS,126.0,50,50PUT7605/94,2021,Yes,Linux,2,3,LED,28999
2160,3840,Ultra HD (4K),LG,139.0,55,OLED55A2PSA,2022,Yes,WebOS,2,3,OLED,89990
2160,3840,Ultra HD (4K),TOSHIBA,126.0,50,50C350LP,2022,Yes,Google TV,2,3,LED,33999
720,1280,HD Ready,Candes,81.0,32,F32N001,2021,No,Android,2,2,LED,8589
1080,1920,Full HD,Compaq,100.0,40,CQ40APFD,2021,Yes,Android,2,3,LED,34999
2160,3840,Ultra HD (4K),Hisense,126.0,50,50A6H,2022,Yes,Google TV,2,3,LED,30499
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55QE1CAKLXL,2023,Yes,Tizen,2,3,QLED,62990
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65X82L,2023,Yes,Google TV,2,4,LED,98600
1080,1920,Full HD,LG,139.0,55,55LH600T,2016,Yes,WebOS,2,3,LED,103900
2160,3840,Ultra HD (4K),LG,139.7,55,55UQ8040PSB,2022,Yes,WebOS,2,3,LED,51833
1080,1920,Full HD,Infinix,109.0,43,43X3IN,2023,Yes,Android,2,2,LED,16999
2160,3840,Ultra HD (4K),Coocaa,164.0,65,65Y72,2022,Yes,Google TV,2,3,LED,43999
1080,1920,Full HD,Acer,100.0,40,AR40AR2841FDFL,2022,Yes,Android,2,2,LED,18999
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65X9300E,2017,Yes,Android,3,4,LED,179999
1080,1920,Full HD,Vu,108.0,43,43US,2020,Yes,Android,2,2,LED,23990
1080,1920,Full HD,RGL,99.0,39,RGL4001,2018,No,HomeOS,2,2,LED,12990
2160,3840,Ultra HD (4K),Vu,126.0,50,50GloLED-3 Yrs,2022,Yes,Google TV,2,3,LED,39999
2160,3840,Ultra HD (4K),SKYTRON,140.0,55,S55W2UHFW,2022,Yes,WebOS,2,3,LED,29199
720,1280,HD Ready,ONIDA,80.0,32,32IV,2022,Yes,VIDAA,2,2,LED,11499
1080,1920,Full HD,Vu,108.0,43,43GA,2022,Yes,Linux,2,2,LED,24989
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65C9PTA,2019,Yes,WebOS,3,4,OLED,199999
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65B8PTA,2018,Yes,WebOS,3,4,OLED,229999
2160,3840,Ultra HD (4K),LG,109.22,43,43UM7790PTA,2021,Yes,WebOS,2,3,LED,41890
2160,3840,Ultra HD (4K),LG,138.0,55,OLED55B9PTA,2019,Yes,WebOS,3,4,OLED,119999
720,1280,HD Ready,LumX,80.0,32,32ZA522,2021,No,Android,2,2,LED,21900
2160,3840,Ultra HD (4K),Compaq,127.0,50,CQ50APUDBL,2021,Yes,Android,2,3,LED,23999
2160,3840,Ultra HD (4K),Acer,127.0,50,AR50AR2851UDPRO,2022,Yes,Android,2,3,LED,41990
1080,1920,Full HD,TCL,80.0,32,32S5403AF,2023,Yes,Android,1,2,LED,11490
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65A8F,2018,Yes,Android,3,4,OLED,259999
720,1280,HD Ready,TCL,80.04,32,32S5403A,2023,Yes,Android,2,2,LED,11490
2160,3840,Ultra HD (4K),XElectron,108.0,43,43XETV,2022,Yes,Android,2,3,LED,18999
2160,3840,Ultra HD (4K),Panasonic,108.0,43,TH-43FX650D,2018,Yes,Linux,2,3,LED,41999
1080,1920,Full HD,Thomson,100.0,40,40RT1033,2023,Yes,Android,2,3,LED,15499
2160,3840,Ultra HD (4K),Aiwa,108.0,43,AS43UHDX1-GTV,2022,Yes,Android,2,3,LED,30500
2160,3840,Ultra HD (4K),SONY,164.0,65,KD-65A9F,2018,Yes,Android,3,4,OLED,469999
2160,3840,Ultra HD (4K),SONY,189.0,75,KD-75X82L,2023,Yes,Google TV,2,4,LED,149490
