title,deal_price,screen_type,hdmi_count,usb_count,os,smart_tv,display_size,hd_technology_resolution,launch_year,model_name
OnePlus Y1S 101 cm (40 inch) Full HD LED Smart Android TV 2023 Edition with Android 11 and Bezel-Less Frame  (40FA1A00),"₹21,999",LED,2,2,Android,Yes,101 cm (40 inch),"Full HD, 1920 x 1080",2023,40FA1A00
"Compaq 108 cm (43 inch) Full HD LED Smart Android TV with HDR10+, ChromeCast Ready , Dolby Audio Surround Sound  (CQ4300FHDAB)","₹15,999",LED,3,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2021,CQ4300FHDAB
TCL 189 cm (75 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Dolby Audio & HDR10  (75P635),"₹69,990",LED,3,2,Google TV,Yes,189 cm (75 inch),"Ultra HD (4K), 3840 x 2160",2022,75P635
"Dyanora AU Series 108 cm (43 inch) Full HD LED Smart Android TV with Certified Android 11, Dolby Audio and 30 Watt Sound Output (2023)  (DY-LD43F0S)","₹15,999",LED,2,2,Android,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2022,DY-LD43F0S
LG 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV  (65SK8500PTA),"₹84,990",LED,4,3,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2018,65SK8500PTA
Haier 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with DOLBY VISION-ATMOS & Far-Field  (L55EG),"₹41,490",LED,4,2,Google TV,Yes,140 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2023,L55EG
SONY X75L 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-50X75L),"₹59,840",LED,3,2,Google TV,Yes,125.7 cm (50 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-50X75L
"Compaq HUEQ G43B 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 2 GB RAM, Mimi Sound Personalisation, Google Assistant  (CQ43APUDBL)","₹17,999",LED,3,2,Android,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2021,CQ43APUDBL
CANDY 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition  (CA32C9),"₹9,999",LED,3,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,CA32C9
SONY Bravia W672G 125.7 cm (50 inch) Full HD LED Smart Linux based TV  (KLV-50W672G),"₹53,100",LED,2,2,Linux based,Yes,125.7 cm (50 inch),"Full HD, 1920 x 1080",2019,KLV-50W672G
SONY X80L 215 cm (85 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (KD-85X80L),"₹3,13,490",LED,4,2,Google TV,Yes,215 cm (85 inch),"Ultra HD (4K), 3840 x 2160",2023,KD-85X80L
"ONIDA 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby Audio, HDR10  (32HIT)","₹12,990",LED,2,2,Android,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32HIT
Thomson 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with with HRD10 & 40W Sound Output  (43OPMAXGT9010),"₹22,999",LED,3,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,43OPMAXGT9010
Panasonic 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition  (TH-43MX660DX),"₹29,990",LED,3,2,Google TV,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2023,TH-43MX660DX
NU 80 cm (32 inch) HD Ready LED Smart WebOS TV  (LED32HWA1),"₹10,999",LED,3,2,WebOS,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2022,LED32HWA1
Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with HDR 10 Dolby Audio and Eye care technology  (55Y72),"₹29,999",LED,3,2,Google TV,Yes,138 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2022,55Y72
LG 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV  (43UK6780PTE),"₹33,982",LED,3,2,WebOS,Yes,108 cm (43 inch),"Ultra HD (4K), 3840 x 2160",2018,43UK6780PTE
LG 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV  (65UP7720PTY),"₹74,990",LED,2,1,WebOS,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2021,65UP7720PTY
LG 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV  (55UP7720PTY),"₹52,999",LED,2,1,WebOS,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2021,55UP7720PTY
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV  (32HDNDMSVAB),"₹7,999",LED,2,2,Not Specified,No,80 cm (32 inch),"HD Ready, 1366 x 768",2021,32HDNDMSVAB
LG 108 cm (43 inch) Full HD LED Smart WebOS TV  (43LH600T),"₹58,900",LED,3,2,WebOS,Yes,108 cm (43 inch),"Full HD, 1920 x 1080",2016,43LH600T
MarQ by Flipkart 80 cm (32 inch) HD Ready LED Smart Google TV  (32HDGDQBSXP),"₹9,999",LED,2,2,Google TV,Yes,80 cm (32 inch),"HD Ready, 1366 x 768",2023,32HDGDQBSXP
MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision  (55SAUHDMG/55SAUHDMG.),"₹59,999",LED,3,2,Android,Yes,139 cm (55 inch),"Ultra HD (4K), 3840 x 2160",2020,55SAUHDMG/55SAUHDMG.
Vu 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV  (65CA),"₹49,990",LED,3,2,Google TV,Yes,164 cm (65 inch),"Ultra HD (4K), 3840 x 2160",2023,65CA
